POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,7,Jackie Stewart,Matra Ford,80,1:50:39.100,9
2,1,Graham Hill,Lotus Ford,80,+18.800s,6
3,5,Denny Hulme,McLaren Ford,80,+31.800s,4
4,4,Jo Siffert,Lotus Ford,80,+49.200s,3
5,6,Bruce McLaren,McLaren Ford,79,+1 lap,2
6,8,Jean-Pierre Beltoise,Matra Ford,78,+2 laps,1
7,11,Jackie Oliver,BRM,77,+3 laps,0
8,17,Sam Tingle,Brabham Repco,73,+7 laps,0
NC,19,Peter de Klerk,Brabham Repco,67,+13 laps,0
NC,2,Jochen Rindt,Lotus Ford,44,DNF,0
NC,10,John Surtees,BRM,40,DNF,0
NC,12,Pedro Rodriguez,BRM,38,DNF,0
NC,9,Chris Amon,Ferrari,34,DNF,0
NC,14,Jack Brabham,Brabham Ford,32,DNF,0
NC,3,Mario Andretti,Lotus Ford,31,DNF,0
NC,16,John Love,Lotus Ford,31,DNF,0
NC,15,Jacky Ickx,Brabham Ford,20,DNF,0
NC,18,Basil van Rooyen,McLaren Ford,12,DNF,0
