POS,DRIVER,NATIONALITY,CAR,PTS
1,Nelson Piquet,BRA,Williams Honda,73
2,Nigel Mansell,GBR,Williams Honda,61
3,Ayrton Senna,BRA,Lotus Honda,57
4,Alain Prost,FRA,McLaren TAG,46
5,Gerhard Berger,AUT,Ferrari,36
6,Stefan Johansson,SWE,McLaren TAG,30
7,Michele Alboreto,ITA,Ferrari,17
8,Thierry Boutsen,BEL,Benetton Ford,16
9,Teo Fabi,ITA,Benetton Ford,12
10,Eddie Cheever,USA,Arrows Megatron,8
11,Jonathan Palmer,GBR,Tyrrell Ford,7
12,Satoru Nakajima,JPN,Lotus Honda,7
13,Riccardo Patrese,ITA,Williams Honda,6
14,Andrea de Cesaris,ITA,Brabham BMW,4
15,Philippe Streiff,FRA,Tyrrell Ford,4
16,Derek Warwick,GBR,Arrows Megatron,3
17,Philippe Alliot,FRA,Lola Ford,3
18,Martin Brundle,GBR,Zakspeed,2
19,Rene Arnoux,FRA,Ligier Megatron,1
20,Ivan Capelli,ITA,March Ford,1
21,Roberto Moreno,BRA,AGS Ford,1
