POS,DRIVER,NATIONALITY,CAR,PTS
1,Ayrton Senna,BRA,McLaren Honda,78
2,Alain Prost,FRA,Ferrari,71
3,Nelson Piquet,BRA,Benetton Ford,43
3,Gerhard Berger,AUT,McLaren Honda,43
5,Nigel Mansell,GBR,Ferrari,37
6,Thierry Boutsen,BEL,Williams Renault,34
7,Riccardo Patrese,ITA,Williams Renault,23
8,Alessandro Nannini,ITA,Benetton Ford,21
9,Jean Alesi,FRA,Tyrrell Ford,13
10,Ivan Capelli,ITA,Leyton House Judd,6
10,Roberto Moreno,BRA,Benetton Ford,6
12,Aguri Suzuki,JPN,Lola Lamborghini,6
13,Eric Bernard,FRA,Lola Lamborghini,5
14,Derek Warwick,GBR,Lotus Lamborghini,3
15,Satoru Nakajima,JPN,Tyrrell Ford,3
16,Alex Caffi,ITA,Arrows Ford,2
16,Stefano Modena,ITA,Brabham Judd,2
18,Mauricio Gugelmin,BRA,Leyton House Judd,1
