GRAND PRIX,DRIVER,CAR,TIME
Bahrain,Valtteri Bottas,Mercedes,1:32.090
Emilia Romagna,Lewis Hamilton,Mercedes,1:16.702
Portugal,Valtteri Bottas,Mercedes,1:19.865
Spain,Max Verstappen,Red Bull Racing Honda,1:18.149
Monaco,Lewis Hamilton,Mercedes,1:12.909
Azerbaijan,Max Verstappen,Red Bull Racing Honda,1:44.481
France,Max Verstappen,Red Bull Racing Honda,1:36.404
Styria,Lewis Hamilton,Mercedes,1:07.058
Austria,Max Verstappen,Red Bull Racing Honda,1:06.200
Great Britain,Sergio Perez,Red Bull Racing Honda,1:28.617
Hungary,Pierre Gasly,AlphaTauri Honda,1:18.394
Netherlands,Lewis Hamilton,Mercedes,1:11.097
Italy,Daniel Ricciardo,McLaren Mercedes,1:24.812
Russia,Lando Norris,McLaren Mercedes,1:37.423
Turkey,Valtteri Bottas,Mercedes,1:30.432
United States,Lewis Hamilton,Mercedes,1:38.485
Mexico,Valtteri Bottas,Mercedes,1:17.774
Brazil,Sergio Perez,Red Bull Racing Honda,1:11.010
Qatar,Max Verstappen,Red Bull Racing Honda,1:23.196
Saudi Arabia,Lewis Hamilton,Mercedes,1:30.734
Abu Dhabi,Max Verstappen,Red Bull Racing Honda,1:26.103
