POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Ferrari,62,1:29:10.789,10
2,2,Rubens Barrichello,Ferrari,62,+17.907s,6
3,5,Ralf Schumacher,Williams BMW,62,+19.755s,4
4,6,Juan Pablo Montoya,Williams BMW,62,+44.725s,3
5,15,Jenson Button,Renault,62,+83.395s,2
6,3,David Coulthard,McLaren Mercedes,61,+1 lap,1
7,11,Jacques Villeneuve,BAR Honda,61,+1 lap,0
8,8,Felipe Massa,Sauber Petronas,61,+1 lap,0
9,14,Jarno Trulli,Renault,61,+1 lap,0
10,7,Nick Heidfeld,Sauber Petronas,61,+1 lap,0
11,23,Mark Webber,Minardi Asiatech,60,+2 laps,0
NC,21,Enrique Bernoldi,Arrows Cosworth,50,DNF,0
NC,16,Eddie Irvine,Jaguar Cosworth,45,DNF,0
NC,4,Kimi Räikkönen,McLaren Mercedes,44,DNF,0
NC,12,Olivier Panis,BAR Honda,44,DNF,0
NC,17,Pedro de la Rosa,Jaguar Cosworth,30,DNF,0
NC,24,Mika Salo,Toyota,26,DNF,0
NC,20,Heinz-Harald Frentzen,Arrows Cosworth,25,DNF,0
NC,9,Giancarlo Fisichella,Jordan Honda,19,DNF,0
NC,10,Takuma Sato,Jordan Honda,5,DNF,0
NC,25,Allan McNish,Toyota,0,DNF,0
