POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,22,Jenson Button,Brawn Mercedes,58,1:26:24.848,10
2,14,Mark Webber,RBR Renault,58,+6.714s,8
3,15,Sebastian Vettel,RBR Renault,58,+7.461s,6
4,9,Jarno Trulli,Toyota,58,+27.843s,5
5,16,Nico Rosberg,Williams Toyota,58,+31.539s,4
6,3,Felipe Massa,Ferrari,58,+39.996s,3
7,5,Robert Kubica,Sauber BMW,58,+46.247s,2
8,10,Timo Glock,Toyota,58,+46.959s,1
9,4,Kimi Räikkönen,Ferrari,58,+50.246s,0
10,7,Fernando Alonso,Renault,58,+62.420s,0
11,6,Nick Heidfeld,Sauber BMW,58,+64.327s,0
12,17,Kazuki Nakajima,Williams Toyota,58,+66.376s,0
13,1,Lewis Hamilton,McLaren Mercedes,58,+80.454s,0
14,2,Heikki Kovalainen,McLaren Mercedes,57,+1 lap,0
15,12,Sebastien Buemi,STR Ferrari,57,+1 lap,0
16,8,Nelson Piquet,Renault,57,+1 lap,0
17,20,Adrian Sutil,Force India Mercedes,57,+1 lap,0
18,11,Sebastien Bourdais,STR Ferrari,57,+1 lap,0
NC,23,Rubens Barrichello,Brawn Mercedes,47,DNF,0
NC,21,Giancarlo Fisichella,Force India Mercedes,4,DNF,0
