POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,22,Jenson Button,Brawn Mercedes,57,1:31:48.182,10
2,15,Sebastian Vettel,RBR Renault,57,+7.187s,8
3,9,Jarno Trulli,Toyota,57,+9.170s,6
4,1,Lewis Hamilton,McLaren Mercedes,57,+22.096s,5
5,23,Rubens Barrichello,Brawn Mercedes,57,+37.779s,4
6,4,Kimi Räikkönen,Ferrari,57,+42.057s,3
7,10,Timo Glock,Toyota,57,+42.880s,2
8,7,Fernando Alonso,Renault,57,+52.775s,1
9,16,Nico Rosberg,Williams Toyota,57,+58.198s,0
10,8,Nelson Piquet,Renault,57,+65.149s,0
11,14,Mark Webber,RBR Renault,57,+67.641s,0
12,2,Heikki Kovalainen,McLaren Mercedes,57,+77.824s,0
13,11,Sebastien Bourdais,STR Ferrari,57,+78.805s,0
14,3,Felipe Massa,Ferrari,56,+1 lap,0
15,21,Giancarlo Fisichella,Force India Mercedes,56,+1 lap,0
16,20,Adrian Sutil,Force India Mercedes,56,+1 lap,0
17,12,Sebastien Buemi,STR Ferrari,56,+1 lap,0
18,5,Robert Kubica,Sauber BMW,56,+1 lap,0
19,6,Nick Heidfeld,Sauber BMW,56,+1 lap,0
NC,17,Kazuki Nakajima,Williams Toyota,48,DNF,0
