POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jody Scheckter,Tyrrell Ford,80,1:58:31.391,9
2,4,Patrick Depailler,Tyrrell Ford,80,+0.380s,6
3,24,James Hunt,Hesketh Ford,80,+3.325s,4
4,5,Emerson Fittipaldi,McLaren Ford,80,+53.507s,3
5,17,Jean-Pierre Jarier,Shadow Ford,80,+76.403s,2
6,26,Graham Hill,Lola Ford,79,+1 lap,1
7,27,Guy Edwards,Lola Ford,79,+1 lap,0
8,21,Tom Belso,Iso Marlboro Ford,79,+1 lap,0
9,8,Rikky von Opel,Brabham Ford,79,+1 lap,0
10,10,Vittorio Brambilla,March Ford,79,DNF,0
11,28,John Watson,Brabham Ford,77,+3 laps,0
DQ,22,Vern Schuppan,Ensign Ford,77,DSQ,0
NC,12,Niki Lauda,Ferrari,70,DNF,0
NC,9,Reine Wisell,March Ford,59,DNF,0
NC,6,Denny Hulme,McLaren Ford,56,DNF,0
NC,19,Jochen Mass,Surtees Ford,53,DNF,0
NC,7,Carlos Reutemann,Brabham Ford,30,DNF,0
NC,2,Jacky Ickx,Lotus Ford,27,DNF,0
NC,11,Clay Regazzoni,Ferrari,24,DNF,0
NC,18,Carlos Pace,Surtees Ford,15,DNF,0
NC,23,Leo Kinnunen,Surtees Ford,8,DNF,0
NC,1,Ronnie Peterson,Lotus Ford,8,DNF,0
NC,33,Mike Hailwood,McLaren Ford,5,DNF,0
NC,14,Jean-Pierre Beltoise,BRM,3,DNF,0
NC,16,Bertil Roos,Shadow Ford,2,DNF,0
NC,15,Henri Pescarolo,BRM,0,DNF,0
