POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Ronnie Peterson,Lotus Ford,78,1:58:03.700,9
2,3,Jody Scheckter,Tyrrell Ford,78,+28.800s,6
3,17,Jean-Pierre Jarier,Shadow Ford,78,+48.900s,4
4,11,Clay Regazzoni,Ferrari,78,+63.100s,3
5,5,Emerson Fittipaldi,McLaren Ford,77,+1 lap,2
6,28,John Watson,Brabham Ford,77,+1 lap,1
7,26,Graham Hill,Lola Ford,76,+2 laps,0
8,27,Guy Edwards,Lola Ford,76,+2 laps,0
9,4,Patrick Depailler,Tyrrell Ford,75,+3 laps,0
NC,15,Henri Pescarolo,BRM,62,DNF,0
NC,2,Jacky Ickx,Lotus Ford,34,DNF,0
NC,12,Niki Lauda,Ferrari,32,DNF,0
NC,24,James Hunt,Hesketh Ford,28,DNF,0
NC,33,Mike Hailwood,McLaren Ford,11,DNF,0
NC,7,Carlos Reutemann,Brabham Ford,5,DNF,0
NC,37,Francois Migault,BRM,5,DNF,0
NC,22,Vern Schuppan,Ensign Ford,4,DNF,0
NC,9,Hans-Joachim Stuck,March Ford,3,DNF,0
NC,10,Vittorio Brambilla,March Ford,1,DNF,0
NC,14,Jean-Pierre Beltoise,BRM,1,DNF,0
NC,23,Tim Schenken,Trojan Ford,0,DNF,0
NC,18,Carlos Pace,Surtees Ford,0,DNF,0
NC,16,Brian Redman,Shadow Ford,0,DNF,0
NC,20,Arturo Merzario,Iso Marlboro Ford,0,DNF,0
NC,6,Denny Hulme,McLaren Ford,0,DNF,0
