POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,11,Sergio Perez,Red Bull Racing RBPT,59,2:02:20.238,25
2,16,Charles Leclerc,Ferrari,59,+2.595s,18
3,55,Carlos Sainz,Ferrari,59,+10.305s,15
4,4,Lando Norris,McLaren Mercedes,59,+21.133s,12
5,3,Daniel Ricciardo,McLaren Mercedes,59,+53.282s,10
6,18,Lance Stroll,Aston Martin Aramco Mercedes,59,+56.330s,8
7,1,Max Verstappen,Red Bull Racing RBPT,59,+58.825s,6
8,5,Sebastian Vettel,Aston Martin Aramco Mercedes,59,+60.032s,4
9,44,Lewis Hamilton,Mercedes,59,+61.515s,2
10,10,Pierre Gasly,AlphaTauri RBPT,59,+69.576s,1
11,77,Valtteri Bottas,Alfa Romeo Ferrari,59,+88.844s,0
12,20,Kevin Magnussen,Haas Ferrari,59,+92.610s,0
13,47,Mick Schumacher,Haas Ferrari,58,+1 lap,0
14,63,George Russell,Mercedes,57,+2 laps,0
NC,22,Yuki Tsunoda,AlphaTauri RBPT,34,DNF,0
NC,31,Esteban Ocon,Alpine Renault,26,DNF,0
NC,23,Alexander Albon,Williams Mercedes,25,DNF,0
NC,14,Fernando Alonso,Alpine Renault,20,DNF,0
NC,6,Nicholas Latifi,Williams Mercedes,7,DNF,0
NC,24,Zhou Guanyu,Alfa Romeo Ferrari,6,DNF,0
