POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Max Verstappen,Red Bull Racing RBPT,51,1:34:05.941,25
2,11,Sergio Perez,Red Bull Racing RBPT,51,+20.823s,19
3,63,George Russell,Mercedes,51,+45.995s,15
4,44,Lewis Hamilton,Mercedes,51,+71.679s,12
5,10,Pierre Gasly,AlphaTauri RBPT,51,+77.299s,10
6,5,Sebastian Vettel,Aston Martin Aramco Mercedes,51,+84.099s,8
7,14,Fernando Alonso,Alpine Renault,51,+88.596s,6
8,3,Daniel Ricciardo,McLaren Mercedes,51,+92.207s,4
9,4,Lando Norris,McLaren Mercedes,51,+92.556s,2
10,31,Esteban Ocon,Alpine Renault,51,+108.184s,1
11,77,Valtteri Bottas,Alfa Romeo Ferrari,50,+1 lap,0
12,23,Alexander Albon,Williams Mercedes,50,+1 lap,0
13,22,Yuki Tsunoda,AlphaTauri RBPT,50,+1 lap,0
14,47,Mick Schumacher,Haas Ferrari,50,+1 lap,0
15,6,Nicholas Latifi,Williams Mercedes,50,+1 lap,0
16,18,Lance Stroll,Aston Martin Aramco Mercedes,46,DNF,0
NC,20,Kevin Magnussen,Haas Ferrari,31,DNF,0
NC,24,Zhou Guanyu,Alfa Romeo Ferrari,23,DNF,0
NC,16,Charles Leclerc,Ferrari,21,DNF,0
NC,55,Carlos Sainz,Ferrari,8,DNF,0
