POS,DRIVER,NATIONALITY,CAR,PTS
1,Alberto Ascari,ITA,Ferrari,34.5
2,Juan Manuel Fangio,ARG,Maserati,27.5
3,Nino Farina,ITA,Ferrari,26
4,Mike Hawthorn,GBR,Ferrari,19
5,Luigi Villoresi,ITA,Ferrari,17
6,Jose Froilan Gonzalez,ARG,Maserati,13.5
7,Bill Vukovich,USA,Kurtis Kraft Offenhauser,9
8,Toulo de Graffenried,SUI,Maserati,7
9,Felice Bonetto,ITA,Maserati,6.5
10,Art Cross,USA,Kurtis Kraft Offenhauser,6
11,Onofre Marimon,ARG,Maserati,4
11,Maurice Trintignant,FRA,Gordini,4
13,Oscar Alfredo Galvez,ARG,Maserati,2
13,Sam Hanks,USA,Kurtis Kraft Offenhauser,2
13,Duane Carter,USA,Kurtis Kraft Offenhauser,2
13,Jack McGrath,USA,Kurtis Kraft Offenhauser,2
13,Hermann Lang,GER,Maserati,2
18,Fred Agabashian,USA,Kurtis Kraft Offenhauser,1.5
18,Paul Russo,USA,Kurtis Kraft Offenhauser,1.5
