POS,DRIVER,NATIONALITY,CAR,PTS
1,Denny Hulme,NZL,Brabham Repco,51
2,Jack Brabham,AUS,Brabham Repco,46
3,Jim Clark,GBR,Lotus Ford,41
4,John Surtees,GBR,Honda,20
4,Chris Amon,NZL,Ferrari,20
6,Pedro Rodriguez,MEX,Cooper Maserati,15
6,Graham Hill,GBR,Lotus Ford,15
8,Dan Gurney,USA,Eagle Climax,13
9,Jackie Stewart,GBR,BRM,10
10,Mike Spence,GBR,BRM,9
11,John Love,RHO,Cooper Climax,6
11,Jochen Rindt,AUT,Cooper Maserati,6
11,Jo Siffert,SUI,Cooper Maserati,6
14,Bruce McLaren,NZL,McLaren BRM,3
14,Jo Bonnier,SWE,Cooper Maserati,3
16,Bob Anderson,GBR,Brabham Climax,2
16,Mike Parkes,GBR,Ferrari,2
16,Chris Irwin,GBR,BRM,2
19,Ludovico Scarfiotti,ITA,Eagle Weslake,1
19,Guy Ligier,FRA,Brabham Repco,1
19,Jacky Ickx,BEL,Cooper Maserati,1
