POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,16,Charles Leclerc,Ferrari,44,1:23:45.710,25
2,44,Lewis Hamilton,Mercedes,44,+0.981s,18
3,77,Valtteri Bottas,Mercedes,44,+12.585s,15
4,5,Sebastian Vettel,Ferrari,44,+26.422s,13
5,23,Alexander Albon,Red Bull Racing Honda,44,+81.325s,10
6,11,Sergio Perez,Racing Point BWT Mercedes,44,+84.448s,8
7,26,Daniil Kvyat,Scuderia Toro Rosso Honda,44,+89.657s,6
8,27,Nico Hulkenberg,Renault,44,+106.639s,4
9,10,Pierre Gasly,Scuderia Toro Rosso Honda,44,+109.168s,2
10,18,Lance Stroll,Racing Point BWT Mercedes,44,+109.838s,1
11,4,Lando Norris,McLaren Renault,43,DNF,0
12,20,Kevin Magnussen,Haas Ferrari,43,+1 lap,0
13,8,Romain Grosjean,Haas Ferrari,43,+1 lap,0
14,3,Daniel Ricciardo,Renault,43,+1 lap,0
15,63,George Russell,Williams Mercedes,43,+1 lap,0
16,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,43,+1 lap,0
17,88,Robert Kubica,Williams Mercedes,43,+1 lap,0
18,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,42,DNF,0
NC,55,Carlos Sainz,McLaren Renault,1,DNF,0
NC,33,Max Verstappen,Red Bull Racing Honda,0,DNF,0
