POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,57,1:34:21.295,25
2,77,Valtteri Bottas,Mercedes,57,+2.980s,18
3,16,Charles Leclerc,Ferrari,57,+6.131s,16
4,33,Max Verstappen,Red Bull Racing Honda,57,+6.408s,12
5,5,Sebastian Vettel,Ferrari,57,+36.068s,10
6,4,Lando Norris,McLaren Renault,57,+45.754s,8
7,7,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,+47.470s,6
8,10,Pierre Gasly,Red Bull Racing Honda,57,+58.094s,4
9,23,Alexander Albon,Scuderia Toro Rosso Honda,57,+62.697s,2
10,11,Sergio Perez,Racing Point BWT Mercedes,57,+63.696s,1
11,99,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,57,+64.599s,0
12,26,Daniil Kvyat,Scuderia Toro Rosso Honda,56,+1 lap,0
13,20,Kevin Magnussen,Haas Ferrari,56,+1 lap,0
14,18,Lance Stroll,Racing Point BWT Mercedes,56,+1 lap,0
15,63,George Russell,Williams Mercedes,56,+1 lap,0
16,88,Robert Kubica,Williams Mercedes,55,+2 laps,0
17,27,Nico Hulkenberg,Renault,53,DNF,0
18,3,Daniel Ricciardo,Renault,53,DNF,0
19,55,Carlos Sainz,McLaren Renault,53,DNF,0
NC,8,Romain Grosjean,Haas Ferrari,16,DNF,0
