POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Pedro Rodriguez,BRM,28,1:38:09.900,9
2,10,Chris Amon,March Ford,28,+1.100s,6
3,25,Jean-Pierre Beltoise,Matra,28,+103.700s,4
4,28,Ignazio Giunti,Ferrari,28,+158.500s,3
5,19,Rolf Stommelen,Brabham Ford,28,+201.800s,2
6,26,Henri Pescarolo,Matra,27,DNF,1
7,9,Jo Siffert,March Ford,26,DNF,0
8,27,Jacky Ickx,Ferrari,26,+2 laps,0
NC,14,Ronnie Peterson,March Ford,20,+8 laps,0
NC,18,Jack Brabham,Brabham Ford,19,DNF,0
NC,23,Graham Hill,Lotus Ford,19,DNF,0
NC,11,Jackie Stewart,March Ford,14,DNF,0
NC,21,John Miles,Lotus Ford,13,DNF,0
NC,20,Jochen Rindt,Lotus Ford,10,DNF,0
NC,2,Jackie Oliver,BRM,7,DNF,0
NC,7,Piers Courage,De Tomaso Ford,4,DNF,0
NC,8,Derek Bell,Brabham Ford,1,DNF,0
