POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Jackie Stewart,March Ford,90,2:10:58.200,9
2,11,Bruce McLaren,McLaren Ford,89,+1 lap,6
3,18,Mario Andretti,March Ford,89,+1 lap,4
4,6,Graham Hill,Lotus Ford,89,+1 lap,3
5,16,Johnny Servoz-Gavin,March Ford,88,+2 laps,2
NC,8,John Surtees,null,76,DNF,0
NC,7,Jack Brabham,Brabham Ford,61,DNF,0
NC,24,Rolf Stommelen,Brabham Ford,43,DNF,0
NC,22,Henri Pescarolo,Matra,33,DNF,0
NC,4,Jean-Pierre Beltoise,Matra,31,DNF,0
NC,9,Chris Amon,March Ford,10,DNF,0
NC,5,Denny Hulme,McLaren Ford,10,DNF,0
NC,3,Jochen Rindt,Lotus Ford,9,DNF,0
NC,10,Pedro Rodriguez,BRM,4,DNF,0
NC,2,Jacky Ickx,Ferrari,0,DNF,0
NC,15,Jackie Oliver,BRM,0,DNF,0
