POS,DRIVER,NATIONALITY,CAR,PTS
1,Mika Hakkinen,FIN,McLaren Mercedes,76
2,Eddie Irvine,GBR,Ferrari,74
3,Heinz-Harald Frentzen,GER,Jordan Mugen Honda,54
4,David Coulthard,GBR,McLaren Mercedes,48
5,Michael Schumacher,GER,Ferrari,44
6,Ralf Schumacher,GER,Williams Supertec,35
7,Rubens Barrichello,BRA,Stewart Ford,21
8,Johnny Herbert,GBR,Stewart Ford,15
9,Giancarlo Fisichella,ITA,Benetton Playlife,13
10,Mika Salo,FIN,Ferrari,10
11,Jarno Trulli,ITA,Prost Peugeot,7
12,Damon Hill,GBR,Jordan Mugen Honda,7
13,Alexander Wurz,AUT,Benetton Playlife,3
14,Pedro Diniz,BRA,Sauber Petronas,3
15,Olivier Panis,FRA,Prost Peugeot,2
16,Jean Alesi,FRA,Sauber Petronas,2
17,Pedro de la Rosa,ESP,Arrows,1
18,Marc Gene,ESP,Minardi Ford,1
