POS,DRIVER,NATIONALITY,CAR,PTS
1,Juan Manuel Fangio,ARG,Maserati,40
2,Stirling Moss,GBR,Vanwall,25
3,Luigi Musso,ITA,Ferrari,16
4,Mike Hawthorn,GBR,Ferrari,13
5,Tony Brooks,GBR,Vanwall,11
6,Masten Gregory,USA,Maserati,10
6,Harry Schell,USA,Maserati,10
8,Sam Hanks,USA,Epperly Offenhauser,8
8,Peter Collins,GBR,Ferrari,8
10,Jim Rathmann,USA,Epperly Offenhauser,7
11,Jean Behra,FRA,Maserati,6
12,Stuart Lewis-Evans,GBR,Vanwall,5
12,Maurice Trintignant,FRA,Ferrari,5
14,Carlos Menditeguy,ARG,Maserati,4
14,Jimmy Bryan,USA,Kuzma Offenhauser,4
14,Wolfgang von Trips,GER,Ferrari,4
17,Paul Russo,USA,Kurtis Kraft Novi,3
18,Andy Linden,USA,Kurtis Kraft Offenhauser,2
18,Roy Salvadori,GBR,Cooper Climax,2
20,Alfonso de Portago,ESP,Ferrari,1
20,Jose Froilan Gonzalez,ARG,Ferrari,1
20,Giorgio Scarlatti,ITA,Maserati,1
