GRAND PRIX,DRIVER,CAR,TIME
Australia,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:28.997
Bahrain,Nico Rosberg,Mercedes,1:34.482
China,Nico Hulkenberg,Force India Mercedes,1:39.824
Russia,Nico Rosberg,Mercedes,1:39.094
Spain,Daniil Kvyat,Toro Rosso Ferrari,1:26.948
Monaco,Lewis Hamilton,Mercedes,1:17.939
Canada,Nico Rosberg,Mercedes,1:15.599
Europe,Nico Rosberg,Mercedes,1:46.485
Austria,Lewis Hamilton,Mercedes,1:08.411
Great Britain,Nico Rosberg,Mercedes,1:35.548
Hungary,Kimi Räikkönen,Ferrari,1:23.086
Germany,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:18.442
Belgium,Lewis Hamilton,Mercedes,1:51.583
Italy,Fernando Alonso,McLaren Honda,1:25.340
Singapore,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:47.187
Malaysia,Nico Rosberg,Mercedes,1:36.424
Japan,Sebastian Vettel,Ferrari,1:35.118
United States,Sebastian Vettel,Ferrari,1:39.877
Mexico,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:21.134
Brazil,Max Verstappen,Red Bull Racing TAG Heuer,1:25.305
Abu Dhabi,Sebastian Vettel,Ferrari,1:43.729
