POS,DRIVER,NATIONALITY,CAR,PTS
1,Nelson Piquet,BRA,Brabham Ford,50
2,Carlos Reutemann,ARG,Williams Ford,49
3,Alan Jones,AUS,Williams Ford,46
4,Jacques Laffite,FRA,Ligier Matra,44
5,Alain Prost,FRA,Renault,43
6,John Watson,GBR,McLaren Ford,27
7,Gilles Villeneuve,CAN,Ferrari,25
8,Elio de Angelis,ITA,Lotus Ford,14
9,Rene Arnoux,FRA,Renault,11
9,Hector Rebaque,MEX,Brabham Ford,11
11,Riccardo Patrese,ITA,Arrows Ford,10
11,Eddie Cheever,USA,Tyrrell Ford,10
13,Didier Pironi,FRA,Ferrari,9
14,Nigel Mansell,GBR,Lotus Ford,8
15,Bruno Giacomelli,ITA,Alfa Romeo,7
16,Marc Surer,SUI,Theodore Ford,4
17,Mario Andretti,USA,Alfa Romeo,3
18,Patrick Tambay,FRA,Ligier Matra,1
18,Andrea de Cesaris,ITA,McLaren Ford,1
18,Slim Borgudd,SWE,ATS Ford,1
18,Eliseo Salazar,CHI,Ensign Ford,1
