POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Ayrton Senna,McLaren Honda,14,24:34.899,5
2,5,Nigel Mansell,Williams Renault,14,+1.259s,3
3,2,Gerhard Berger,McLaren Honda,14,+5.120s,2
4,20,Nelson Piquet,Benetton Ford,14,+30.103s,1.5
5,6,Riccardo Patrese,Williams Renault,14,+50.537s,1
6,27,Gianni Morbidelli,Ferrari,14,+51.069s,0.5
7,21,Emanuele Pirro,Dallara Judd,14,+52.361s,0
8,33,Andrea de Cesaris,Jordan Ford,14,+60.431s,0
9,32,Alessandro Zanardi,Jordan Ford,14,+75.567s,0
10,4,Stefano Modena,Tyrrell Honda,14,+80.370s,0
11,12,Johnny Herbert,Lotus Judd,14,+82.073s,0
12,22,Jyrki Jarvilehto,Dallara Judd,14,+98.519s,0
13,9,Michele Alboreto,Footwork Porsche,14,+99.303s,0
14,15,Mauricio Gugelmin,Leyton House Ilmor,13,DNF,0
15,10,Alex Caffi,Footwork Porsche,13,+1 lap,0
16,24,Roberto Moreno,Minardi Ferrari,13,+1 lap,0
17,8,Mark Blundell,Brabham Yamaha,13,+1 lap,0
18,26,Erik Comas,Ligier Lamborghini,13,+1 lap,0
19,11,Mika Hakkinen,Lotus Judd,13,+1 lap,0
20,16,Karl Wendlinger,Leyton House Ilmor,12,+2 laps,0
NC,23,Pierluigi Martini,Minardi Ferrari,8,DNF,0
NC,19,Michael Schumacher,Benetton Ford,5,DNF,0
NC,28,Jean Alesi,Ferrari,5,DNF,0
NC,34,Nicola Larini,Lambo Lamborghini,5,DNF,0
NC,25,Thierry Boutsen,Ligier Lamborghini,5,DNF,0
NC,3,Satoru Nakajima,Tyrrell Honda,4,DNF,0
