POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Carlos Reutemann,Williams Ford,54,1:16:31.610,9
2,26,Jacques Laffite,Ligier Matra,54,+36.060s,6
3,12,Nigel Mansell,Lotus Ford,54,+43.690s,4
4,27,Gilles Villeneuve,Ferrari,54,+47.640s,3
5,11,Elio de Angelis,Lotus Ford,54,+49.200s,2
6,3,Eddie Cheever,Tyrrell Ford,54,+52.510s,1
7,7,John Watson,McLaren Ford,54,+61.660s,0
8,28,Didier Pironi,Ferrari,54,+92.040s,0
9,23,Bruno Giacomelli,Alfa Romeo,54,+95.580s,0
10,22,Mario Andretti,Alfa Romeo,53,+1 lap,0
11,14,Marc Surer,Ensign Ford,52,+2 laps,0
12,4,Michele Alboreto,Tyrrell Ford,52,+2 laps,0
13,31,Piercarlo Ghinzani,Osella Hart,50,+4 laps,0
NC,6,Hector Rebaque,Brabham Ford,39,DNF,0
NC,25,Jean-Pierre Jabouille,Ligier Matra,35,DNF,0
NC,21,Chico Serra,Fittipaldi Ford,29,DNF,0
NC,32,Beppe Gabbiani,Osella Hart,22,DNF,0
NC,1,Alan Jones,Williams Ford,19,DNF,0
NC,8,Andrea de Cesaris,McLaren Ford,11,DNF,0
NC,5,Nelson Piquet,Brabham Ford,10,DNF,0
NC,20,Keke Rosberg,Fittipaldi Ford,10,DNF,0
NC,15,Alain Prost,Renault,2,DNF,0
NC,30,Siegfried Stohr,Arrows Ford,0,DNF,0
NC,29,Riccardo Patrese,Arrows Ford,0,DNF,0
