GRAND PRIX,DRIVER,CAR,TIME
Australia,Nico Rosberg,Mercedes,1:32.478
Malaysia,Lewis Hamilton,Mercedes,1:43.066
Bahrain,Nico Rosberg,Mercedes,1:37.020
China,Nico Rosberg,Mercedes,1:40.402
Spain,Sebastian Vettel,Red Bull Racing Renault,1:28.918
Monaco,Kimi Räikkönen,Ferrari,1:18.479
Canada,Felipe Massa,Williams Mercedes,1:18.504
Austria,Sergio Perez,Force India Mercedes,1:12.142
Great Britain,Lewis Hamilton,Mercedes,1:37.176
Germany,Lewis Hamilton,Mercedes,1:19.908
Hungary,Nico Rosberg,Mercedes,1:25.724
Belgium,Nico Rosberg,Mercedes,1:50.511
Italy,Lewis Hamilton,Mercedes,1:28.004
Singapore,Lewis Hamilton,Mercedes,1:50.417
Japan,Lewis Hamilton,Mercedes,1:51.600
Russia,Valtteri Bottas,Williams Mercedes,1:40.896
United States,Sebastian Vettel,Red Bull Racing Renault,1:41.379
Brazil,Lewis Hamilton,Mercedes,1:13.555
Abu Dhabi,Daniel Ricciardo,Red Bull Racing Renault,1:44.496
