POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,363
2,Sebastian Vettel,GER,Ferrari,317
3,Valtteri Bottas,FIN,Mercedes,305
4,Kimi Räikkönen,FIN,Ferrari,205
5,Daniel Ricciardo,AUS,Red Bull Racing TAG Heuer,200
6,Max Verstappen,NED,Red Bull Racing TAG Heuer,168
7,Sergio Perez,MEX,Force India Mercedes,100
8,Esteban Ocon,FRA,Force India Mercedes,87
9,Carlos Sainz,ESP,Renault,54
10,Nico Hulkenberg,GER,Renault,43
11,Felipe Massa,BRA,Williams Mercedes,43
12,Lance Stroll,CAN,Williams Mercedes,40
13,Romain Grosjean,FRA,Haas Ferrari,28
14,Kevin Magnussen,DEN,Haas Ferrari,19
15,Fernando Alonso,ESP,McLaren Honda,17
16,Stoffel Vandoorne,BEL,McLaren Honda,13
17,Jolyon Palmer,GBR,Renault,8
18,Pascal Wehrlein,GER,Sauber Ferrari,5
19,Daniil Kvyat,RUS,Toro Rosso,5
20,Marcus Ericsson,SWE,Sauber Ferrari,0
21,Pierre Gasly,FRA,Toro Rosso,0
22,Antonio Giovinazzi,ITA,Sauber Ferrari,0
23,Brendon Hartley,NZL,Toro Rosso,0
