POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Ferrari,144
2,Rubens Barrichello,BRA,Ferrari,77
3,Juan Pablo Montoya,COL,Williams BMW,50
4,Ralf Schumacher,GER,Williams BMW,42
5,David Coulthard,GBR,McLaren Mercedes,41
6,Kimi Räikkönen,FIN,McLaren Mercedes,24
7,Jenson Button,GBR,Renault,14
8,Jarno Trulli,ITA,Renault,9
9,Eddie Irvine,GBR,Jaguar Cosworth,8
10,Nick Heidfeld,GER,Sauber Petronas,7
11,Giancarlo Fisichella,ITA,Jordan Honda,7
12,Jacques Villeneuve,CAN,BAR Honda,4
13,Felipe Massa,BRA,Sauber Petronas,4
14,Olivier Panis,FRA,BAR Honda,3
15,Takuma Sato,JPN,Jordan Honda,2
16,Mark Webber,AUS,Minardi Asiatech,2
17,Mika Salo,FIN,Toyota,2
18,Heinz-Harald Frentzen,GER,Sauber Petronas,2
19,Allan McNish,GBR,Toyota,0
20,Alex Yoong,MAS,Minardi Asiatech,0
21,Pedro de la Rosa,ESP,Jaguar Cosworth,0
22,Enrique Bernoldi,BRA,Arrows Cosworth,0
