POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Damon Hill,Williams Renault,71,1:49:52.976,10
2,3,Jean Alesi,Benetton Renault,71,+17.982s,6
3,1,Michael Schumacher,Ferrari,70,+1 lap,4
4,7,Mika Hakkinen,McLaren Mercedes,70,+1 lap,3
5,19,Mika Salo,Tyrrell Yamaha,70,+1 lap,2
6,9,Olivier Panis,Ligier Mugen Honda,70,+1 lap,1
7,2,Eddie Irvine,Ferrari,70,+1 lap,0
8,10,Pedro Diniz,Ligier Mugen Honda,69,+2 laps,0
9,18,Ukyo Katayama,Tyrrell Yamaha,69,+2 laps,0
10,20,Pedro Lamy,Minardi Ford,68,+3 laps,0
11,22,Luca Badoer,Forti Ford,67,+4 laps,0
12,12,Martin Brundle,Jordan Peugeot,64,DNF,0
NC,11,Rubens Barrichello,Jordan Peugeot,59,DNF,0
NC,15,Heinz-Harald Frentzen,Sauber Ford,36,DNF,0
NC,8,David Coulthard,McLaren Mercedes,29,DNF,0
NC,14,Johnny Herbert,Sauber Ford,28,DNF,0
NC,6,Jacques Villeneuve,Williams Renault,26,DNF,0
NC,4,Gerhard Berger,Benetton Renault,26,DNF,0
NC,23,Andrea Montermini,Forti Ford,26,DNF,0
NC,16,Ricardo Rosset,Footwork Hart,24,DNF,0
NC,17,Jos Verstappen,Footwork Hart,19,DNF,0
NC,21,Tarso Marques,Minardi Ford,0,DNF,0
