POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Mario Andretti,Lotus Ford,54,1:38:51.920,9
2,6,Ronnie Peterson,Lotus Ford,54,+2.930s,6
3,7,James Hunt,McLaren Ford,54,+19.800s,4
4,2,John Watson,Brabham Alfa Romeo,54,+36.880s,3
5,27,Alan Jones,Williams Ford,54,+41.810s,2
6,20,Jody Scheckter,Wolf Ford,54,+54.530s,1
7,26,Jacques Laffite,Ligier Matra,54,+54.740s,0
8,35,Riccardo Patrese,Arrows Ford,54,+84.880s,0
9,8,Patrick Tambay,McLaren Ford,54,+87.060s,0
10,3,Didier Pironi,Tyrrell Ford,54,+89.980s,0
11,16,Hans-Joachim Stuck,Shadow Ford,53,+1 lap,0
12,12,Gilles Villeneuve,Ferrari,53,+1 lap,0
13,9,Jochen Mass,ATS Ford,53,+1 lap,0
14,31,Rene Arnoux,Martini Ford,53,+1 lap,0
15,36,Rolf Stommelen,Arrows Ford,53,+1 lap,0
16,10,Keke Rosberg,ATS Ford,52,+2 laps,0
17,19,Vittorio Brambilla,Surtees Ford,52,+2 laps,0
18,11,Carlos Reutemann,Ferrari,49,+5 laps,0
NC,30,Brett Lunger,McLaren Ford,45,DNF,0
NC,14,Emerson Fittipaldi,Fittipaldi Ford,43,DNF,0
NC,18,Rupert Keegan,Surtees Ford,40,DNF,0
NC,33,Bruno Giacomelli,McLaren Ford,28,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,10,DNF,0
NC,1,Niki Lauda,Brabham Alfa Romeo,10,DNF,0
NC,17,Clay Regazzoni,Shadow Ford,4,DNF,0
NC,15,Jean-Pierre Jabouille,Renault,1,DNF,0
