POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Michael Schumacher,Ferrari,60,1:47:02.450,10
2,8,Mika Hakkinen,McLaren Mercedes,60,+22.465s,6
3,4,Eddie Irvine,Ferrari,60,+29.199s,4
4,6,Alexander Wurz,Benetton Playlife,59,+1 lap,3
5,5,Giancarlo Fisichella,Benetton Playlife,59,+1 lap,2
6,10,Ralf Schumacher,Jordan Mugen Honda,59,+1 lap,1
7,1,Jacques Villeneuve,Williams Mecachrome,59,+1 lap,0
8,22,Shinji Nakano,Minardi Ford,58,+2 laps,0
9,21,Toranosuke Takagi,Tyrrell Ford,56,+4 laps,0
NC,14,Jean Alesi,Sauber Petronas,53,DNF,0
NC,16,Pedro Diniz,Arrows,45,DNF,0
NC,11,Olivier Panis,Prost Peugeot,40,DNF,0
NC,18,Rubens Barrichello,Stewart Ford,39,DNF,0
NC,19,Jos Verstappen,Stewart Ford,38,DNF,0
NC,7,David Coulthard,McLaren Mercedes,37,DNF,0
NC,12,Jarno Trulli,Prost Peugeot,37,DNF,0
NC,20,Ricardo Rosset,Tyrrell Ford,29,DNF,0
NC,23,Esteban Tuero,Minardi Ford,29,DNF,0
NC,15,Johnny Herbert,Sauber Petronas,27,DNF,0
NC,17,Mika Salo,Arrows,27,DNF,0
NC,2,Heinz-Harald Frentzen,Williams Mecachrome,15,DNF,0
NC,9,Damon Hill,Jordan Mugen Honda,13,DNF,0
