POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,7,David Coulthard,McLaren Mercedes,62,1:34:24.593,10
2,3,Michael Schumacher,Ferrari,62,+4.554s,6
3,4,Eddie Irvine,Ferrari,62,+51.776s,4
4,1,Jacques Villeneuve,Williams Mecachrome,62,+54.590s,3
5,2,Heinz-Harald Frentzen,Williams Mecachrome,62,+77.477s,2
6,14,Jean Alesi,Sauber Petronas,61,+1 lap,1
7,10,Ralf Schumacher,Jordan Mugen Honda,60,+2 laps,0
8,23,Esteban Tuero,Minardi Ford,60,+2 laps,0
9,17,Mika Salo,Arrows,60,+2 laps,0
10,9,Damon Hill,Jordan Mugen Honda,57,DNF,0
11,11,Olivier Panis,Prost Peugeot,56,DNF,0
NC,20,Ricardo Rosset,Tyrrell Ford,48,DNF,0
NC,21,Toranosuke Takagi,Tyrrell Ford,40,DNF,0
NC,12,Jarno Trulli,Prost Peugeot,34,DNF,0
NC,22,Shinji Nakano,Minardi Ford,27,DNF,0
NC,16,Pedro Diniz,Arrows,18,DNF,0
NC,8,Mika Hakkinen,McLaren Mercedes,17,DNF,0
NC,5,Giancarlo Fisichella,Benetton Playlife,17,DNF,0
NC,6,Alexander Wurz,Benetton Playlife,17,DNF,0
NC,15,Johnny Herbert,Sauber Petronas,12,DNF,0
NC,19,Jan Magnussen,Stewart Ford,8,DNF,0
NC,18,Rubens Barrichello,Stewart Ford,0,DNF,0
