POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,8,Mika Hakkinen,McLaren Mercedes,71,1:30:44.086,10
2,7,David Coulthard,McLaren Mercedes,71,+5.289s,6
3,3,Michael Schumacher,Ferrari,71,+39.093s,4
4,4,Eddie Irvine,Ferrari,71,+43.977s,3
5,10,Ralf Schumacher,Jordan Mugen Honda,71,+50.655s,2
6,1,Jacques Villeneuve,Williams Mecachrome,71,+53.202s,1
7,9,Damon Hill,Jordan Mugen Honda,71,+73.624s,0
8,15,Johnny Herbert,Sauber Petronas,70,+1 lap,0
9,6,Alexander Wurz,Benetton Playlife,70,+1 lap,0
10,12,Jarno Trulli,Prost Peugeot,70,+1 lap,0
11,22,Shinji Nakano,Minardi Ford,70,+1 lap,0
12,20,Ricardo Rosset,Tyrrell Ford,69,+2 laps,0
NC,19,Jos Verstappen,Stewart Ford,51,DNF,0
NC,23,Esteban Tuero,Minardi Ford,30,DNF,0
NC,5,Giancarlo Fisichella,Benetton Playlife,21,DNF,0
NC,14,Jean Alesi,Sauber Petronas,21,DNF,0
NC,2,Heinz-Harald Frentzen,Williams Mecachrome,16,DNF,0
NC,18,Rubens Barrichello,Stewart Ford,8,DNF,0
NC,16,Pedro Diniz,Arrows,3,DNF,0
NC,17,Mika Salo,Arrows,1,DNF,0
NC,11,Olivier Panis,Prost Peugeot,0,DNF,0
NC,21,Toranosuke Takagi,Tyrrell Ford,0,DNF,0
