POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Mario Andretti,Lotus Ford,80,1:51:35.470,9
2,11,Niki Lauda,Ferrari,80,+0.773s,6
3,20,Jody Scheckter,Wolf Ford,80,+4.857s,4
4,4,Patrick Depailler,Tyrrell Ford,80,+74.487s,3
5,28,Emerson Fittipaldi,Fittipaldi Ford,80,+80.908s,2
6,34,Jean-Pierre Jarier,Penske Ford,79,+1 lap,1
7,1,James Hunt,McLaren Ford,79,+1 lap,0
8,6,Gunnar Nilsson,Lotus Ford,79,+1 lap,0
9,26,Jacques Laffite,Ligier Matra,78,DNF,0
10,10,Brian Henton,March Ford,77,+3 laps,0
11,18,Hans Binder,Surtees Ford,77,+3 laps,0
NC,3,Ronnie Peterson,Tyrrell Ford,62,DNF,0
NC,22,Clay Regazzoni,Ensign Ford,57,DNF,0
NC,8,Hans-Joachim Stuck,Brabham Alfa Romeo,53,DNF,0
NC,17,Alan Jones,Shadow Ford,40,DNF,0
NC,2,Jochen Mass,McLaren Ford,39,DNF,0
DQ,7,John Watson,Brabham Alfa Romeo,33,DSQ,0
NC,16,Renzo Zorzi,Shadow Ford,27,DNF,0
NC,9,Alex Ribeiro,March Ford,15,DNF,0
NC,12,Carlos Reutemann,Ferrari,5,DNF,0
NC,30,Brett Lunger,March Ford,4,DNF,0
NC,19,Vittorio Brambilla,Surtees Ford,0,DNF,0
