POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,20,Jody Scheckter,Wolf Ford,76,1:57:52.770,9
2,11,Niki Lauda,Ferrari,76,+0.889s,6
3,12,Carlos Reutemann,Ferrari,76,+32.800s,4
4,2,Jochen Mass,McLaren Ford,76,+34.600s,3
5,5,Mario Andretti,Lotus Ford,76,+35.550s,2
6,17,Alan Jones,Shadow Ford,76,+36.610s,1
7,26,Jacques Laffite,Ligier Matra,76,+64.440s,0
8,19,Vittorio Brambilla,Surtees Ford,76,+68.640s,0
9,16,Riccardo Patrese,Shadow Ford,75,+1 lap,0
10,22,Jacky Ickx,Ensign Ford,75,+1 lap,0
11,34,Jean-Pierre Jarier,Penske Ford,74,+2 laps,0
12,24,Rupert Keegan,Hesketh Ford,73,+3 laps,0
NC,6,Gunnar Nilsson,Lotus Ford,51,DNF,0
NC,7,John Watson,Brabham Alfa Romeo,48,DNF,0
NC,4,Patrick Depailler,Tyrrell Ford,46,DNF,0
NC,18,Hans Binder,Surtees Ford,41,DNF,0
NC,28,Emerson Fittipaldi,Fittipaldi Ford,37,DNF,0
NC,1,James Hunt,McLaren Ford,25,DNF,0
NC,8,Hans-Joachim Stuck,Brabham Alfa Romeo,19,DNF,0
NC,3,Ronnie Peterson,Tyrrell Ford,10,DNF,0
