POS,DRIVER,NATIONALITY,CAR,PTS
1,Alain Prost,FRA,Williams Renault,99
2,Ayrton Senna,BRA,McLaren Ford,73
3,Damon Hill,GBR,Williams Renault,69
4,Michael Schumacher,GER,Benetton Ford,52
5,Riccardo Patrese,ITA,Benetton Ford,20
6,Jean Alesi,FRA,Ferrari,16
7,Martin Brundle,GBR,Ligier Renault,13
8,Gerhard Berger,AUT,Ferrari,12
9,Johnny Herbert,GBR,Lotus Ford,11
10,Mark Blundell,GBR,Ligier Renault,10
11,Michael Andretti,USA,McLaren Ford,7
12,Karl Wendlinger,AUT,Sauber,7
13,Christian Fittipaldi,BRA,Minardi Ford,5
13,Jyrki Jarvilehto,FIN,Sauber,5
15,Mika Hakkinen,FIN,McLaren Ford,4
16,Derek Warwick,GBR,Footwork Mugen Honda,4
17,Philippe Alliot,FRA,Larrousse Lamborghini,2
17,Rubens Barrichello,BRA,Jordan Hart,2
19,Fabrizio Barbazza,ITA,Minardi Ford,2
20,Alessandro Zanardi,ITA,Lotus Ford,1
20,Erik Comas,FRA,Larrousse Lamborghini,1
20,Eddie Irvine,GBR,Jordan Hart,1
