POS,DRIVER,NATIONALITY,CAR,PTS
1,Jody Scheckter,RSA,Ferrari,51
2,Gilles Villeneuve,CAN,Ferrari,47
3,Alan Jones,AUS,Williams Ford,40
4,Jacques Laffite,FRA,Ligier Ford,36
5,Clay Regazzoni,SUI,Williams Ford,29
6,Patrick Depailler,FRA,Ligier Ford,20
6,Carlos Reutemann,ARG,Lotus Ford,20
8,Rene Arnoux,FRA,Renault,17
9,John Watson,GBR,McLaren Ford,15
10,Didier Pironi,FRA,Tyrrell Ford,14
10,Jean-Pierre Jarier,FRA,Tyrrell Ford,14
10,Mario Andretti,USA,Lotus Ford,14
13,Jean-Pierre Jabouille,FRA,Renault,9
14,Niki Lauda,AUT,Brabham Ford,4
15,Nelson Piquet,BRA,Brabham Ford,3
15,Elio de Angelis,ITA,Shadow Ford,3
15,Jacky Ickx,BEL,Ligier Ford,3
15,Jochen Mass,GER,Arrows Ford,3
19,Riccardo Patrese,ITA,Arrows Ford,2
19,Hans-Joachim Stuck,GER,ATS Ford,2
21,Emerson Fittipaldi,BRA,Fittipaldi Ford,1
