POS,DRIVER,NATIONALITY,CAR,PTS
1,Nelson Piquet,BRA,Brabham BMW,59
2,Alain Prost,FRA,Renault,57
3,Rene Arnoux,FRA,Ferrari,49
4,Patrick Tambay,FRA,Ferrari,40
5,Keke Rosberg,FIN,Williams Honda,27
6,John Watson,GBR,McLaren Ford,22
7,Eddie Cheever,USA,Renault,22
8,Andrea de Cesaris,ITA,Alfa Romeo,15
9,Riccardo Patrese,ITA,Brabham BMW,13
10,Niki Lauda,AUT,McLaren TAG,12
11,Jacques Laffite,FRA,Williams Honda,11
12,Michele Alboreto,ITA,Tyrrell Ford,10
13,Nigel Mansell,GBR,Lotus Renault,10
14,Derek Warwick,GBR,Toleman Hart,9
15,Marc Surer,SUI,Arrows Ford,4
16,Mauro Baldi,ITA,Alfa Romeo,3
17,Elio de Angelis,ITA,Lotus Renault,2
18,Danny Sullivan,USA,Tyrrell Ford,2
19,Bruno Giacomelli,ITA,Toleman Hart,1
20,Johnny Cecotto,VEN,Theodore Ford,1
