POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,4,Eddie Irvine,Ferrari,71,1:28:12.438,10
2,2,David Coulthard,McLaren Mercedes,71,+0.313s,6
3,1,Mika Hakkinen,McLaren Mercedes,71,+22.282s,4
4,8,Heinz-Harald Frentzen,Jordan Mugen Honda,71,+52.803s,3
5,10,Alexander Wurz,Benetton Playlife,71,+66.358s,2
6,12,Pedro Diniz,Sauber Petronas,71,+70.933s,1
7,19,Jarno Trulli,Prost Peugeot,70,+1 lap,0
8,7,Damon Hill,Jordan Mugen Honda,70,+1 lap,0
9,3,Mika Salo,Ferrari,70,+1 lap,0
10,18,Olivier Panis,Prost Peugeot,70,+1 lap,0
11,21,Marc Gene,Minardi Ford,70,+1 lap,0
12,9,Giancarlo Fisichella,Benetton Playlife,68,DNF,0
13,20,Luca Badoer,Minardi Ford,68,+3 laps,0
14,17,Johnny Herbert,Stewart Ford,67,+4 laps,0
15,23,Ricardo Zonta,BAR Supertec,63,DNF,0
NC,16,Rubens Barrichello,Stewart Ford,55,DNF,0
NC,11,Jean Alesi,Sauber Petronas,49,DNF,0
NC,14,Pedro de la Rosa,Arrows,38,DNF,0
NC,5,Alessandro Zanardi,Williams Supertec,35,DNF,0
NC,22,Jacques Villeneuve,BAR Supertec,34,DNF,0
NC,15,Toranosuke Takagi,Arrows,25,DNF,0
NC,6,Ralf Schumacher,Williams Supertec,8,DNF,0
