POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,22,Lewis Hamilton,McLaren Mercedes,67,1:31:20.874,10
2,6,Nelson Piquet,Renault,67,+5.586s,8
3,2,Felipe Massa,Ferrari,67,+9.339s,6
4,3,Nick Heidfeld,Sauber BMW,67,+9.825s,5
5,23,Heikki Kovalainen,McLaren Mercedes,67,+12.411s,4
6,1,Kimi Räikkönen,Ferrari,67,+14.483s,3
7,4,Robert Kubica,Sauber BMW,67,+22.603s,2
8,15,Sebastian Vettel,STR Ferrari,67,+33.282s,1
9,11,Jarno Trulli,Toyota,67,+37.199s,0
10,7,Nico Rosberg,Williams Toyota,67,+37.658s,0
11,5,Fernando Alonso,Renault,67,+38.625s,0
12,14,Sebastien Bourdais,STR Ferrari,67,+39.111s,0
13,9,David Coulthard,Red Bull Renault,67,+54.971s,0
14,8,Kazuki Nakajima,Williams Toyota,67,+60.003s,0
15,20,Adrian Sutil,Force India Ferrari,67,+69.488s,0
16,21,Giancarlo Fisichella,Force India Ferrari,67,+84.093s,0
17,16,Jenson Button,Honda,66,+1 lap,0
NC,17,Rubens Barrichello,Honda,50,DNF,0
NC,10,Mark Webber,Red Bull Renault,40,DNF,0
NC,12,Timo Glock,Toyota,35,DNF,0
