POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Fernando Alonso,Renault,61,1:57:16.304,10
2,7,Nico Rosberg,Williams Toyota,61,+2.957s,8
3,22,Lewis Hamilton,McLaren Mercedes,61,+5.917s,6
4,12,Timo Glock,Toyota,61,+8.155s,5
5,15,Sebastian Vettel,STR Ferrari,61,+10.268s,4
6,3,Nick Heidfeld,Sauber BMW,61,+11.101s,3
7,9,David Coulthard,Red Bull Renault,61,+16.387s,2
8,8,Kazuki Nakajima,Williams Toyota,61,+18.489s,1
9,16,Jenson Button,Honda,61,+19.885s,0
10,23,Heikki Kovalainen,McLaren Mercedes,61,+26.902s,0
11,4,Robert Kubica,Sauber BMW,61,+27.975s,0
12,14,Sebastien Bourdais,STR Ferrari,61,+29.432s,0
13,2,Felipe Massa,Ferrari,61,+35.170s,0
14,21,Giancarlo Fisichella,Force India Ferrari,61,+43.571s,0
15,1,Kimi Räikkönen,Ferrari,57,DNF,0
NC,11,Jarno Trulli,Toyota,50,DNF,0
NC,20,Adrian Sutil,Force India Ferrari,49,DNF,0
NC,10,Mark Webber,Red Bull Renault,29,DNF,0
NC,17,Rubens Barrichello,Honda,14,DNF,0
NC,6,Nelson Piquet,Renault,13,DNF,0
