POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jacques Villeneuve,Williams Renault,72,1:36:06.990,10
2,8,Gerhard Berger,Benetton Renault,72,+4.190s,6
3,14,Olivier Panis,Prost Mugen Honda,72,+15.870s,4
4,9,Mika Hakkinen,McLaren Mercedes,72,+33.033s,3
5,5,Michael Schumacher,Ferrari,72,+33.731s,2
6,7,Jean Alesi,Benetton Renault,72,+34.020s,1
7,16,Johnny Herbert,Sauber Petronas,72,+50.912s,0
8,12,Giancarlo Fisichella,Jordan Peugeot,72,+0.639s,0
9,4,Heinz-Harald Frentzen,Williams Renault,72,+15.402s,0
10,10,David Coulthard,McLaren Mercedes,71,+1 lap,0
11,17,Nicola Larini,Sauber Petronas,71,+1 lap,0
12,21,Jarno Trulli,Minardi Hart,71,+1 lap,0
13,19,Mika Salo,Tyrrell Ford,71,+1 lap,0
14,15,Shinji Nakano,Prost Mugen Honda,71,+1 lap,0
15,18,Jos Verstappen,Tyrrell Ford,70,+2 laps,0
16,6,Eddie Irvine,Ferrari,70,+2 laps,0
17,1,Damon Hill,Arrows Yamaha,68,DNF,0
18,20,Ukyo Katayama,Minardi Hart,67,+5 laps,0
NC,11,Ralf Schumacher,Jordan Peugeot,52,DNF,0
NC,22,Rubens Barrichello,Stewart Ford,16,DNF,0
NC,2,Pedro Diniz,Arrows Yamaha,15,DNF,0
