POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,4,Heinz-Harald Frentzen,Williams Renault,62,1:31:00.673,10
2,5,Michael Schumacher,Ferrari,62,+1.237s,6
3,6,Eddie Irvine,Ferrari,62,+78.343s,4
4,12,Giancarlo Fisichella,Jordan Peugeot,62,+83.388s,3
5,7,Jean Alesi,Benetton Renault,61,+1 lap,2
6,9,Mika Hakkinen,McLaren Mercedes,61,+1 lap,1
7,17,Nicola Larini,Sauber Petronas,61,+1 lap,0
8,14,Olivier Panis,Prost Mugen Honda,61,+1 lap,0
9,19,Mika Salo,Tyrrell Ford,60,+2 laps,0
10,18,Jos Verstappen,Tyrrell Ford,60,+2 laps,0
11,20,Ukyo Katayama,Minardi Hart,59,+3 laps,0
NC,2,Pedro Diniz,Arrows Yamaha,53,DNF,0
NC,3,Jacques Villeneuve,Williams Renault,40,DNF,0
NC,10,David Coulthard,McLaren Mercedes,38,DNF,0
NC,22,Rubens Barrichello,Stewart Ford,32,DNF,0
NC,16,Johnny Herbert,Sauber Petronas,18,DNF,0
NC,11,Ralf Schumacher,Jordan Peugeot,17,DNF,0
NC,15,Shinji Nakano,Prost Mugen Honda,11,DNF,0
NC,1,Damon Hill,Arrows Yamaha,11,DNF,0
NC,8,Gerhard Berger,Benetton Renault,4,DNF,0
NC,23,Jan Magnussen,Stewart Ford,2,DNF,0
NC,21,Jarno Trulli,Minardi Hart,0,DNF,0
