POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,10,David Coulthard,McLaren Mercedes,53,1:17:04.609,10
2,7,Jean Alesi,Benetton Renault,53,+1.937s,6
3,4,Heinz-Harald Frentzen,Williams Renault,53,+4.343s,4
4,12,Giancarlo Fisichella,Jordan Peugeot,53,+5.871s,3
5,3,Jacques Villeneuve,Williams Renault,53,+6.416s,2
6,5,Michael Schumacher,Ferrari,53,+11.481s,1
7,8,Gerhard Berger,Benetton Renault,53,+12.471s,0
8,6,Eddie Irvine,Ferrari,53,+17.639s,0
9,9,Mika Hakkinen,McLaren Mercedes,53,+49.373s,0
10,14,Jarno Trulli,Prost Mugen Honda,53,+62.706s,0
11,15,Shinji Nakano,Prost Mugen Honda,53,+63.327s,0
12,17,Gianni Morbidelli,Sauber Petronas,52,+1 lap,0
13,22,Rubens Barrichello,Stewart Ford,52,+1 lap,0
14,21,Tarso Marques,Minardi Hart,50,+3 laps,0
NC,1,Damon Hill,Arrows Yamaha,46,DNF,0
NC,11,Ralf Schumacher,Jordan Peugeot,39,DNF,0
NC,16,Johnny Herbert,Sauber Petronas,38,DNF,0
NC,19,Mika Salo,Tyrrell Ford,33,DNF,0
NC,23,Jan Magnussen,Stewart Ford,31,DNF,0
NC,18,Jos Verstappen,Tyrrell Ford,12,DNF,0
NC,20,Ukyo Katayama,Minardi Hart,8,DNF,0
NC,2,Pedro Diniz,Arrows Yamaha,4,DNF,0
