POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jacques Villeneuve,Williams Renault,67,1:31:27.843,10
2,7,Jean Alesi,Benetton Renault,67,+11.770s,6
3,4,Heinz-Harald Frentzen,Williams Renault,67,+13.480s,4
4,8,Gerhard Berger,Benetton Renault,67,+16.416s,3
5,2,Pedro Diniz,Arrows Yamaha,67,+43.147s,2
6,14,Olivier Panis,Prost Mugen Honda,67,+43.750s,1
7,16,Johnny Herbert,Sauber Petronas,67,+44.354s,0
8,1,Damon Hill,Arrows Yamaha,67,+44.777s,0
9,17,Gianni Morbidelli,Sauber Petronas,66,+1 lap,0
10,19,Mika Salo,Tyrrell Ford,66,+1 lap,0
NC,18,Jos Verstappen,Tyrrell Ford,50,DNF,0
NC,9,Mika Hakkinen,McLaren Mercedes,43,DNF,0
NC,22,Rubens Barrichello,Stewart Ford,43,DNF,0
NC,10,David Coulthard,McLaren Mercedes,42,DNF,0
NC,23,Jan Magnussen,Stewart Ford,40,DNF,0
NC,6,Eddie Irvine,Ferrari,22,DNF,0
NC,15,Shinji Nakano,Prost Mugen Honda,16,DNF,0
NC,5,Michael Schumacher,Ferrari,2,DNF,0
NC,21,Tarso Marques,Minardi Hart,1,DNF,0
NC,20,Ukyo Katayama,Minardi Hart,1,DNF,0
NC,11,Ralf Schumacher,Jordan Peugeot,0,DNF,0
NC,12,Giancarlo Fisichella,Jordan Peugeot,0,DNF,0
