POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jacques Villeneuve,Williams Renault,72,1:52:01.715,10
2,6,Eddie Irvine,Ferrari,72,+0.979s,6
3,11,Ralf Schumacher,Jordan Peugeot,72,+12.089s,4
4,16,Johnny Herbert,Sauber Petronas,72,+29.919s,3
5,9,Mika Hakkinen,McLaren Mercedes,72,+30.351s,2
6,8,Gerhard Berger,Benetton Renault,72,+31.393s,1
7,7,Jean Alesi,Benetton Renault,72,+46.359s,0
8,19,Mika Salo,Tyrrell Ford,71,+1 lap,0
9,21,Jarno Trulli,Minardi Hart,71,+1 lap,0
10,23,Jan Magnussen,Stewart Ford,66,DNF,0
NC,17,Nicola Larini,Sauber Petronas,63,DNF,0
NC,2,Pedro Diniz,Arrows Yamaha,50,DNF,0
NC,15,Shinji Nakano,Prost Mugen Honda,49,DNF,0
NC,18,Jos Verstappen,Tyrrell Ford,43,DNF,0
NC,20,Ukyo Katayama,Minardi Hart,37,DNF,0
NC,1,Damon Hill,Arrows Yamaha,33,DNF,0
NC,12,Giancarlo Fisichella,Jordan Peugeot,24,DNF,0
NC,22,Rubens Barrichello,Stewart Ford,24,DNF,0
NC,14,Olivier Panis,Prost Mugen Honda,18,DNF,0
NC,4,Heinz-Harald Frentzen,Williams Renault,5,DNF,0
NC,5,Michael Schumacher,Ferrari,0,DNF,0
NC,10,David Coulthard,McLaren Mercedes,0,DNF,0
