POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,413
2,Valtteri Bottas,FIN,Mercedes,326
3,Max Verstappen,NED,Red Bull Racing Honda,278
4,Charles Leclerc,MON,Ferrari,264
5,Sebastian Vettel,GER,Ferrari,240
6,Carlos Sainz,ESP,McLaren Renault,96
7,Pierre Gasly,FRA,Scuderia Toro Rosso Honda,95
8,Alexander Albon,THA,Red Bull Racing Honda,92
9,Daniel Ricciardo,AUS,Renault,54
10,Sergio Perez,MEX,Racing Point BWT Mercedes,52
11,Lando Norris,GBR,McLaren Renault,49
12,Kimi Räikkönen,FIN,Alfa Romeo Racing Ferrari,43
13,Daniil Kvyat,RUS,Scuderia Toro Rosso Honda,37
14,Nico Hulkenberg,GER,Renault,37
15,Lance Stroll,CAN,Racing Point BWT Mercedes,21
16,Kevin Magnussen,DEN,Haas Ferrari,20
17,Antonio Giovinazzi,ITA,Alfa Romeo Racing Ferrari,14
18,Romain Grosjean,FRA,Haas Ferrari,8
19,Robert Kubica,POL,Williams Mercedes,1
20,George Russell,GBR,Williams Mercedes,0
