POS,DRIVER,NATIONALITY,CAR,PTS
1,Damon Hill,GBR,Williams Renault,97
2,Jacques Villeneuve,CAN,Williams Renault,78
3,Michael Schumacher,GER,Ferrari,59
4,Jean Alesi,FRA,Benetton Renault,47
5,Mika Hakkinen,FIN,McLaren Mercedes,31
6,Gerhard Berger,AUT,Benetton Renault,21
7,David Coulthard,GBR,McLaren Mercedes,18
8,Rubens Barrichello,BRA,Jordan Peugeot,14
9,Olivier Panis,FRA,Ligier Mugen Honda,13
10,Eddie Irvine,GBR,Ferrari,11
11,Martin Brundle,GBR,Jordan Peugeot,8
12,Heinz-Harald Frentzen,GER,Sauber Ford,7
13,Mika Salo,FIN,Tyrrell Yamaha,5
14,Johnny Herbert,GBR,Sauber Ford,4
15,Pedro Diniz,BRA,Ligier Mugen Honda,2
16,Jos Verstappen,NED,Footwork Hart,1
