POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Emerson Fittipaldi,Lotus Ford,96,1:56:18.220,9
2,8,Francois Cevert,Tyrrell Ford,96,+4.690s,6
3,6,Jackie Stewart,Tyrrell Ford,96,+33.190s,4
4,18,Jacky Ickx,Ferrari,96,+42.570s,3
5,14,Denny Hulme,McLaren Ford,95,+1 lap,2
6,12,Wilson Fittipaldi,Brabham Ford,95,+1 lap,1
7,32,Clay Regazzoni,BRM,93,+3 laps,0
8,16,Peter Revson,McLaren Ford,92,+4 laps,0
9,20,Arturo Merzario,Ferrari,92,+4 laps,0
10,22,Mike Beuttler,March Ford,90,DNF,0
NC,24,Jean-Pierre Jarier,March Ford,84,DNF,0
NC,30,Jean-Pierre Beltoise,BRM,79,DNF,0
NC,38,Howden Ganley,Iso Marlboro Ford,79,+17 laps,0
NC,4,Ronnie Peterson,Lotus Ford,66,DNF,0
NC,34,Niki Lauda,BRM,66,DNF,0
NC,10,Carlos Reutemann,Brabham Ford,16,DNF,0
NC,28,Carlos Pace,Surtees Ford,10,DNF,0
NC,26,Mike Hailwood,Surtees Ford,10,DNF,0
NC,36,Nanni Galli,Iso Marlboro Ford,0,DNF,0
