POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,4,Rubens Barrichello,Ferrari,45,1:25:34.418,10
2,1,Mika Hakkinen,McLaren Mercedes,45,+7.452s,6
3,2,David Coulthard,McLaren Mercedes,45,+21.168s,4
4,10,Jenson Button,Williams BMW,45,+22.685s,3
5,17,Mika Salo,Sauber Petronas,45,+27.112s,2
6,18,Pedro de la Rosa,Arrows Supertec,45,+29.079s,1
7,9,Ralf Schumacher,Williams BMW,45,+30.897s,0
8,22,Jacques Villeneuve,BAR Honda,45,+47.537s,0
9,6,Jarno Trulli,Jordan Mugen Honda,45,+50.901s,0
10,7,Eddie Irvine,Jaguar Cosworth,45,+79.664s,0
11,21,Gaston Mazzacane,Minardi Fondmetal,45,+89.504s,0
12,15,Nick Heidfeld,Prost Peugeot,40,DNF,0
NC,5,Heinz-Harald Frentzen,Jordan Mugen Honda,39,DNF,0
NC,19,Jos Verstappen,Arrows Supertec,39,DNF,0
NC,23,Ricardo Zonta,BAR Honda,37,DNF,0
NC,20,Marc Gene,Minardi Fondmetal,33,DNF,0
NC,12,Alexander Wurz,Benetton Playlife,31,DNF,0
NC,16,Pedro Diniz,Sauber Petronas,29,DNF,0
NC,14,Jean Alesi,Prost Peugeot,29,DNF,0
NC,8,Johnny Herbert,Jaguar Cosworth,12,DNF,0
NC,3,Michael Schumacher,Ferrari,0,DNF,0
NC,11,Giancarlo Fisichella,Benetton Playlife,0,DNF,0
