POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,David Coulthard,McLaren Mercedes,60,1:28:50.108,10
2,1,Mika Hakkinen,McLaren Mercedes,60,+1.477s,6
3,3,Michael Schumacher,Ferrari,60,+19.917s,4
4,9,Ralf Schumacher,Williams BMW,60,+41.312s,3
5,10,Jenson Button,Williams BMW,60,+57.759s,2
6,6,Jarno Trulli,Jordan Mugen Honda,60,+79.273s,1
7,11,Giancarlo Fisichella,Benetton Playlife,59,+1 lap,0
8,17,Mika Salo,Sauber Petronas,59,+1 lap,0
9,12,Alexander Wurz,Benetton Playlife,59,+1 lap,0
10,14,Jean Alesi,Prost Peugeot,59,+1 lap,0
11,16,Pedro Diniz,Sauber Petronas,59,+1 lap,0
12,8,Johnny Herbert,Jaguar Cosworth,59,+1 lap,0
13,7,Eddie Irvine,Jaguar Cosworth,59,+1 lap,0
14,20,Marc Gene,Minardi Fondmetal,59,+1 lap,0
15,21,Gaston Mazzacane,Minardi Fondmetal,59,+1 lap,0
16,22,Jacques Villeneuve,BAR Honda,56,DNF,0
17,5,Heinz-Harald Frentzen,Jordan Mugen Honda,54,DNF,0
NC,15,Nick Heidfeld,Prost Peugeot,51,DNF,0
NC,23,Ricardo Zonta,BAR Honda,36,DNF,0
NC,4,Rubens Barrichello,Ferrari,35,DNF,0
NC,18,Pedro de la Rosa,Arrows Supertec,26,DNF,0
NC,19,Jos Verstappen,Arrows Supertec,20,DNF,0
