POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Michael Schumacher,Ferrari,62,1:31:39.776,10
2,1,Mika Hakkinen,McLaren Mercedes,62,+1.168s,6
3,2,David Coulthard,McLaren Mercedes,62,+51.008s,4
4,4,Rubens Barrichello,Ferrari,62,+89.276s,3
5,22,Jacques Villeneuve,BAR Honda,61,+1 lap,2
6,17,Mika Salo,Sauber Petronas,61,+1 lap,1
7,7,Eddie Irvine,Jaguar Cosworth,61,+1 lap,0
8,16,Pedro Diniz,Sauber Petronas,61,+1 lap,0
9,12,Alexander Wurz,Benetton Playlife,61,+1 lap,0
10,8,Johnny Herbert,Jaguar Cosworth,61,+1 lap,0
11,11,Giancarlo Fisichella,Benetton Playlife,61,+1 lap,0
12,23,Ricardo Zonta,BAR Honda,61,+1 lap,0
13,21,Gaston Mazzacane,Minardi Fondmetal,60,+2 laps,0
14,19,Jos Verstappen,Arrows Supertec,59,+3 laps,0
15,6,Jarno Trulli,Jordan Mugen Honda,58,DNF,0
NC,18,Pedro de la Rosa,Arrows Supertec,49,DNF,0
NC,9,Ralf Schumacher,Williams BMW,45,DNF,0
NC,14,Jean Alesi,Prost Peugeot,25,DNF,0
NC,15,Nick Heidfeld,Prost Peugeot,22,DNF,0
NC,10,Jenson Button,Williams BMW,5,DNF,0
NC,20,Marc Gene,Minardi Fondmetal,5,DNF,0
NC,5,Heinz-Harald Frentzen,Jordan Mugen Honda,4,DNF,0
