POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Michael Schumacher,Ferrari,58,1:34:01.987,10
2,4,Rubens Barrichello,Ferrari,58,+11.415s,6
3,9,Ralf Schumacher,Williams BMW,58,+20.009s,4
4,22,Jacques Villeneuve,BAR Honda,58,+44.447s,3
5,11,Giancarlo Fisichella,Benetton Playlife,58,+45.165s,2
6,23,Ricardo Zonta,BAR Honda,58,+46.468s,1
7,12,Alexander Wurz,Benetton Playlife,58,+46.915s,0
8,20,Marc Gene,Minardi Fondmetal,57,+1 lap,0
9,15,Nick Heidfeld,Prost Peugeot,56,+2 laps,0
NC,10,Jenson Button,Williams BMW,46,DNF,0
NC,16,Pedro Diniz,Sauber Petronas,41,DNF,0
NC,21,Gaston Mazzacane,Minardi Fondmetal,40,DNF,0
NC,5,Heinz-Harald Frentzen,Jordan Mugen Honda,39,DNF,0
NC,6,Jarno Trulli,Jordan Mugen Honda,35,DNF,0
NC,14,Jean Alesi,Prost Peugeot,27,DNF,0
NC,1,Mika Hakkinen,McLaren Mercedes,18,DNF,0
NC,19,Jos Verstappen,Arrows Supertec,16,DNF,0
NC,2,David Coulthard,McLaren Mercedes,11,DNF,0
NC,18,Pedro de la Rosa,Arrows Supertec,6,DNF,0
NC,7,Eddie Irvine,Jaguar Cosworth,6,DNF,0
NC,8,Johnny Herbert,Jaguar Cosworth,1,DNF,0
