POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Mika Hakkinen,McLaren Mercedes,65,1:33:55.390,10
2,2,David Coulthard,McLaren Mercedes,65,+16.066s,6
3,4,Rubens Barrichello,Ferrari,65,+29.112s,4
4,9,Ralf Schumacher,Williams BMW,65,+37.311s,3
5,3,Michael Schumacher,Ferrari,65,+47.983s,2
6,5,Heinz-Harald Frentzen,Jordan Mugen Honda,65,+81.925s,1
7,17,Mika Salo,Sauber Petronas,64,+1 lap,0
8,23,Ricardo Zonta,BAR Honda,64,+1 lap,0
9,11,Giancarlo Fisichella,Benetton Playlife,64,+1 lap,0
10,12,Alexander Wurz,Benetton Playlife,64,+1 lap,0
11,7,Eddie Irvine,Jaguar Cosworth,64,+1 lap,0
12,6,Jarno Trulli,Jordan Mugen Honda,64,+1 lap,0
13,8,Johnny Herbert,Jaguar Cosworth,64,+1 lap,0
14,20,Marc Gene,Minardi Fondmetal,63,+2 laps,0
15,21,Gaston Mazzacane,Minardi Fondmetal,63,+2 laps,0
16,15,Nick Heidfeld,Prost Peugeot,62,+3 laps,0
17,10,Jenson Button,Williams BMW,61,DNF,0
NC,19,Jos Verstappen,Arrows Supertec,25,DNF,0
NC,22,Jacques Villeneuve,BAR Honda,21,DNF,0
NC,14,Jean Alesi,Prost Peugeot,1,DNF,0
NC,18,Pedro de la Rosa,Arrows Supertec,1,DNF,0
NC,16,Pedro Diniz,Sauber Petronas,0,DNF,0
