POS,DRIVER,NATIONALITY,CAR,PTS
1,Alan Jones,AUS,Williams Ford,67
2,Nelson Piquet,BRA,Brabham Ford,54
3,Carlos Reutemann,ARG,Williams Ford,42
4,Jacques Laffite,FRA,Ligier Ford,34
5,Didier Pironi,FRA,Ligier Ford,32
6,Rene Arnoux,FRA,Renault,29
7,Elio de Angelis,ITA,Lotus Ford,13
8,Jean-Pierre Jabouille,FRA,Renault,9
9,Riccardo Patrese,ITA,Arrows Ford,7
10,Keke Rosberg,FIN,Fittipaldi Ford,6
10,Derek Daly,IRL,Tyrrell Ford,6
10,John Watson,GBR,McLaren Ford,6
10,Jean-Pierre Jarier,FRA,Tyrrell Ford,6
10,Gilles Villeneuve,CAN,Ferrari,6
15,Emerson Fittipaldi,BRA,Fittipaldi Ford,5
15,Alain Prost,FRA,McLaren Ford,5
17,Jochen Mass,GER,Arrows Ford,4
17,Bruno Giacomelli,ITA,Alfa Romeo,4
19,Jody Scheckter,RSA,Ferrari,2
20,Hector Rebaque,MEX,Brabham Ford,1
20,Mario Andretti,USA,Lotus Ford,1
