POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,27,Alan Jones,Williams Ford,54,1:27:38.010,9
2,12,Gilles Villeneuve,Ferrari,54,+36.050s,6
3,26,Jacques Laffite,Ligier Ford,54,+46.770s,4
4,11,Jody Scheckter,Ferrari,54,+47.210s,3
5,28,Clay Regazzoni,Williams Ford,54,+48.920s,2
6,16,Rene Arnoux,Renault,53,+1 lap,1
7,3,Didier Pironi,Tyrrell Ford,53,+1 lap,0
8,4,Derek Daly,Tyrrell Ford,53,+1 lap,0
9,7,John Watson,McLaren Ford,53,+1 lap,0
10,8,Patrick Tambay,McLaren Ford,53,+1 lap,0
NC,5,Niki Lauda,Brabham Alfa Romeo,45,DNF,0
NC,22,Patrick Gaillard,Ensign Ford,42,DNF,0
NC,18,Elio de Angelis,Shadow Ford,34,DNF,0
NC,29,Riccardo Patrese,Arrows Ford,34,DNF,0
NC,6,Nelson Piquet,Brabham Alfa Romeo,32,DNF,0
NC,9,Hans-Joachim Stuck,ATS Ford,28,DNF,0
NC,25,Jacky Ickx,Ligier Ford,26,DNF,0
NC,2,Carlos Reutemann,Lotus Ford,22,DNF,0
NC,15,Jean-Pierre Jabouille,Renault,16,DNF,0
NC,14,Emerson Fittipaldi,Fittipaldi Ford,15,DNF,0
NC,20,Keke Rosberg,Wolf Ford,15,DNF,0
NC,17,Jan Lammers,Shadow Ford,3,DNF,0
NC,30,Jochen Mass,Arrows Ford,1,DNF,0
NC,1,Mario Andretti,Lotus Ford,0,DNF,0
