POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,10,Graham Hill,Lotus Ford,65,1:56:43.950,9
2,2,Bruce McLaren,McLaren Ford,65,+79.320s,6
3,11,Jackie Oliver,Lotus Ford,65,+100.650s,4
4,8,Pedro Rodriguez,BRM,65,+101.090s,3
5,17,Jo Bonnier,Honda,64,+1 lap,2
6,16,Jo Siffert,Lotus Ford,64,+1 lap,1
7,15,Jackie Stewart,Matra Ford,64,+1 lap,0
8,18,Vic Elford,Cooper BRM,63,+2 laps,0
9,9,Henri Pescarolo,Matra,62,+3 laps,0
10,3,Jack Brabham,Brabham Repco,59,DNF,0
NC,23,Johnny Servoz-Gavin,Matra Ford,57,DNF,0
NC,14,Dan Gurney,McLaren Ford,28,DNF,0
NC,22,Piers Courage,BRM,25,DNF,0
NC,19,Lucien Bianchi,Cooper BRM,21,DNF,0
NC,5,John Surtees,Honda,17,DNF,0
NC,6,Chris Amon,Ferrari,16,DNF,0
NC,12,Moises Solana,Lotus Ford,14,DNF,0
NC,21,Jean-Pierre Beltoise,Matra,10,DNF,0
NC,1,Denny Hulme,McLaren Ford,10,DNF,0
NC,7,Jacky Ickx,Ferrari,3,DNF,0
NC,4,Jochen Rindt,Brabham Repco,2,DNF,0
