POS,DRIVER,NATIONALITY,CAR,PTS
1,Lewis Hamilton,GBR,Mercedes,381
2,Nico Rosberg,GER,Mercedes,322
3,Sebastian Vettel,GER,Ferrari,278
4,Kimi Räikkönen,FIN,Ferrari,150
5,Valtteri Bottas,FIN,Williams Mercedes,136
6,Felipe Massa,BRA,Williams Mercedes,121
7,Daniil Kvyat,RUS,Red Bull Racing Renault,95
8,Daniel Ricciardo,AUS,Red Bull Racing Renault,92
9,Sergio Perez,MEX,Force India Mercedes,78
10,Nico Hulkenberg,GER,Force India Mercedes,58
11,Romain Grosjean,FRA,Lotus Mercedes,51
12,Max Verstappen,NED,STR Renault,49
13,Felipe Nasr,BRA,Sauber Ferrari,27
14,Pastor Maldonado,VEN,Lotus Mercedes,27
15,Carlos Sainz,ESP,STR Renault,18
16,Jenson Button,GBR,McLaren Honda,16
17,Fernando Alonso,ESP,McLaren Honda,11
18,Marcus Ericsson,SWE,Sauber Ferrari,9
19,Roberto Merhi,ESP,Marussia Ferrari,0
20,Alexander Rossi,USA,Marussia Ferrari,0
21,Will Stevens,GBR,Marussia Ferrari,0
