POS,DRIVER,NATIONALITY,CAR,PTS
1,Graham Hill,GBR,Lotus Ford,48
2,Jackie Stewart,GBR,Matra Ford,36
3,Denny Hulme,NZL,McLaren Ford,33
4,Jacky Ickx,BEL,Ferrari,27
5,Bruce McLaren,NZL,McLaren Ford,22
6,Pedro Rodriguez,MEX,BRM,18
7,Jo Siffert,SUI,Lotus Ford,12
7,John Surtees,GBR,Honda,12
9,Jean-Pierre Beltoise,FRA,Matra,11
10,Chris Amon,NZL,Ferrari,10
11,Jim Clark,GBR,Lotus Ford,9
12,Jochen Rindt,AUT,Brabham Repco,8
13,Richard Attwood,GBR,BRM,6
13,Johnny Servoz-Gavin,FRA,Matra Ford,6
13,Jackie Oliver,GBR,Lotus Ford,6
13,Ludovico Scarfiotti,ITA,Cooper BRM,6
17,Lucien Bianchi,BEL,Cooper BRM,5
17,Vic Elford,GBR,Cooper BRM,5
19,Brian Redman,GBR,Cooper BRM,4
19,Piers Courage,GBR,BRM,4
21,Dan Gurney,USA,McLaren Ford,3
21,Jo Bonnier,SWE,Honda,3
23,Silvio Moser,SUI,Brabham Repco,2
23,Jack Brabham,AUS,Brabham Repco,2
