POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,55,1:38:04.013,25
2,6,Nico Rosberg,Mercedes,55,+0.439s,18
3,5,Sebastian Vettel,Ferrari,55,+0.843s,15
4,33,Max Verstappen,Red Bull Racing TAG Heuer,55,+1.685s,12
5,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,55,+5.315s,10
6,7,Kimi Räikkönen,Ferrari,55,+18.816s,8
7,27,Nico Hulkenberg,Force India Mercedes,55,+50.114s,6
8,11,Sergio Perez,Force India Mercedes,55,+58.776s,4
9,19,Felipe Massa,Williams Mercedes,55,+59.436s,2
10,14,Fernando Alonso,McLaren Honda,55,+59.896s,1
11,8,Romain Grosjean,Haas Ferrari,55,+76.777s,0
12,21,Esteban Gutierrez,Haas Ferrari,55,+95.113s,0
13,31,Esteban Ocon,MRT Mercedes,54,+1 lap,0
14,94,Pascal Wehrlein,MRT Mercedes,54,+1 lap,0
15,9,Marcus Ericsson,Sauber Ferrari,54,+1 lap,0
16,12,Felipe Nasr,Sauber Ferrari,54,+1 lap,0
17,30,Jolyon Palmer,Renault,54,+1 lap,0
NC,55,Carlos Sainz,Toro Rosso Ferrari,41,DNF,0
NC,26,Daniil Kvyat,Toro Rosso Ferrari,14,DNF,0
NC,22,Jenson Button,McLaren Honda,12,DNF,0
NC,77,Valtteri Bottas,Williams Mercedes,6,DNF,0
NC,20,Kevin Magnussen,Renault,5,DNF,0
