POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Nico Rosberg,Mercedes,44,1:44:51.058,25
2,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,44,+14.113s,18
3,44,Lewis Hamilton,Mercedes,44,+27.634s,15
4,27,Nico Hulkenberg,Force India Mercedes,44,+35.907s,12
5,11,Sergio Perez,Force India Mercedes,44,+40.660s,10
6,5,Sebastian Vettel,Ferrari,44,+45.394s,8
7,14,Fernando Alonso,McLaren Honda,44,+59.445s,6
8,77,Valtteri Bottas,Williams Mercedes,44,+60.151s,4
9,7,Kimi Räikkönen,Ferrari,44,+61.109s,2
10,19,Felipe Massa,Williams Mercedes,44,+65.873s,1
11,33,Max Verstappen,Red Bull Racing TAG Heuer,44,+71.138s,0
12,21,Esteban Gutierrez,Haas Ferrari,44,+73.877s,0
13,8,Romain Grosjean,Haas Ferrari,44,+76.474s,0
14,26,Daniil Kvyat,Toro Rosso Ferrari,44,+87.097s,0
15,30,Jolyon Palmer,Renault,44,+93.165s,0
16,31,Esteban Ocon,MRT Mercedes,43,+1 lap,0
17,12,Felipe Nasr,Sauber Ferrari,43,+1 lap,0
NC,20,Kevin Magnussen,Renault,5,DNF,0
NC,9,Marcus Ericsson,Sauber Ferrari,3,DNF,0
NC,55,Carlos Sainz,Toro Rosso Ferrari,1,DNF,0
NC,22,Jenson Button,McLaren Honda,1,DNF,0
NC,94,Pascal Wehrlein,MRT Mercedes,0,DNF,0
