POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Nico Rosberg,Mercedes,56,1:38:53.891,25
2,5,Sebastian Vettel,Ferrari,56,+37.776s,18
3,26,Daniil Kvyat,Red Bull Racing TAG Heuer,56,+45.936s,15
4,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,56,+52.688s,12
5,7,Kimi Räikkönen,Ferrari,56,+65.872s,10
6,19,Felipe Massa,Williams Mercedes,56,+75.511s,8
7,44,Lewis Hamilton,Mercedes,56,+78.230s,6
8,33,Max Verstappen,Toro Rosso Ferrari,56,+79.268s,4
9,55,Carlos Sainz,Toro Rosso Ferrari,56,+84.127s,2
10,77,Valtteri Bottas,Williams Mercedes,56,+86.192s,1
11,11,Sergio Perez,Force India Mercedes,56,+94.283s,0
12,14,Fernando Alonso,McLaren Honda,56,+97.253s,0
13,22,Jenson Button,McLaren Honda,56,+101.990s,0
14,21,Esteban Gutierrez,Haas Ferrari,55,+1 lap,0
15,27,Nico Hulkenberg,Force India Mercedes,55,+1 lap,0
16,9,Marcus Ericsson,Sauber Ferrari,55,+1 lap,0
17,20,Kevin Magnussen,Renault,55,+1 lap,0
18,94,Pascal Wehrlein,MRT Mercedes,55,+1 lap,0
19,8,Romain Grosjean,Haas Ferrari,55,+1 lap,0
20,12,Felipe Nasr,Sauber Ferrari,55,+1 lap,0
21,88,Rio Haryanto,MRT Mercedes,55,+1 lap,0
22,30,Jolyon Palmer,Renault,55,+1 lap,0
