POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Nico Rosberg,Mercedes,53,1:32:41.997,25
2,44,Lewis Hamilton,Mercedes,53,+25.022s,18
3,7,Kimi Räikkönen,Ferrari,53,+31.998s,15
4,77,Valtteri Bottas,Williams Mercedes,53,+50.217s,12
5,19,Felipe Massa,Williams Mercedes,53,+74.427s,10
6,14,Fernando Alonso,McLaren Honda,52,+1 lap,8
7,20,Kevin Magnussen,Renault,52,+1 lap,6
8,8,Romain Grosjean,Haas Ferrari,52,+1 lap,4
9,11,Sergio Perez,Force India Mercedes,52,+1 lap,2
10,22,Jenson Button,McLaren Honda,52,+1 lap,1
11,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,52,+1 lap,0
12,55,Carlos Sainz,Toro Rosso Ferrari,52,+1 lap,0
13,30,Jolyon Palmer,Renault,52,+1 lap,0
14,9,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
15,26,Daniil Kvyat,Red Bull Racing TAG Heuer,52,+1 lap,0
16,12,Felipe Nasr,Sauber Ferrari,52,+1 lap,0
17,21,Esteban Gutierrez,Haas Ferrari,52,+1 lap,0
18,94,Pascal Wehrlein,MRT Mercedes,51,+2 laps,0
NC,33,Max Verstappen,Toro Rosso Ferrari,33,DNF,0
NC,5,Sebastian Vettel,Ferrari,0,DNF,0
NC,27,Nico Hulkenberg,Force India Mercedes,0,DNF,0
NC,88,Rio Haryanto,MRT Mercedes,0,DNF,0
