POS,DRIVER,NATIONALITY,CAR,PTS
1,Michael Schumacher,GER,Benetton Ford,92
2,Damon Hill,GBR,Williams Renault,91
3,Gerhard Berger,AUT,Ferrari,41
4,Mika Hakkinen,FIN,McLaren Peugeot,26
5,Jean Alesi,FRA,Ferrari,24
6,Rubens Barrichello,BRA,Jordan Hart,19
7,Martin Brundle,GBR,McLaren Peugeot,16
8,David Coulthard,GBR,Williams Renault,14
9,Nigel Mansell,GBR,Williams Renault,13
10,Jos Verstappen,NED,Benetton Ford,10
11,Olivier Panis,FRA,Ligier Renault,9
12,Mark Blundell,GBR,Tyrrell Yamaha,8
13,Heinz-Harald Frentzen,GER,Sauber Mercedes,7
14,Nicola Larini,ITA,Ferrari,6
15,Christian Fittipaldi,BRA,Footwork Ford,6
16,Eddie Irvine,GBR,Jordan Hart,6
17,Ukyo Katayama,JPN,Tyrrell Yamaha,5
18,Eric Bernard,FRA,Lotus Mugen Honda,4
19,Karl Wendlinger,AUT,Sauber Mercedes,4
20,Andrea de Cesaris,ITA,Sauber Mercedes,4
21,Pierluigi Martini,ITA,Minardi Ford,4
22,Gianni Morbidelli,ITA,Footwork Ford,3
23,Erik Comas,FRA,Larrousse Ford,2
24,Michele Alboreto,ITA,Minardi Ford,1
25,Jyrki Jarvilehto,FIN,Sauber Mercedes,1
