POS,DRIVER,NATIONALITY,CAR,PTS
1,Juan Manuel Fangio,ARG,Alfa Romeo,31
2,Alberto Ascari,ITA,Ferrari,25
3,Jose Froilan Gonzalez,ARG,Ferrari,24
4,Nino Farina,ITA,Alfa Romeo,19
5,Luigi Villoresi,ITA,Ferrari,15
6,Piero Taruffi,ITA,Ferrari,10
7,Lee Wallard,USA,Kurtis Kraft Offenhauser,9
8,Felice Bonetto,ITA,Alfa Romeo,7
9,Mike Nazaruk,USA,Kurtis Kraft Offenhauser,6
10,Reg Parnell,GBR,BRM,5
11,Luigi Fagioli,ITA,Alfa Romeo,4
12,Consalvo Sanesi,ITA,Alfa Romeo,3
12,Andy Linden,USA,Sherman Offenhauser,3
12,Louis Rosier,FRA,null,3
15,Toulo de Graffenried,SUI,Alfa Romeo,2
15,Manny Ayulo,USA,Kurtis Kraft Offenhauser,2
15,Bobby Ball,USA,Schroeder Offenhauser,2
15,Jack McGrath,USA,Kurtis Kraft Offenhauser,2
15,Yves Giraud Cabantous,FRA,Talbot-Lago,2
