POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,6,Kimi Räikkönen,Ferrari,59,1:21:43.074,10
2,1,Fernando Alonso,McLaren Mercedes,59,+2.459s,8
3,2,Lewis Hamilton,McLaren Mercedes,59,+39.373s,6
4,10,Robert Kubica,Sauber BMW,59,+53.319s,5
5,5,Felipe Massa,Ferrari,59,+54.063s,4
6,9,Nick Heidfeld,Sauber BMW,59,+56.336s,3
7,4,Heikki Kovalainen,Renault,58,+1 lap,2
8,3,Giancarlo Fisichella,Renault,58,+1 lap,1
9,8,Rubens Barrichello,Honda,58,+1 lap,0
10,7,Jenson Button,Honda,58,+1 lap,0
11,14,David Coulthard,Red Bull Renault,58,+1 lap,0
12,16,Nico Rosberg,Williams Toyota,58,+1 lap,0
13,17,Alexander Wurz,Williams Toyota,58,+1 lap,0
14,22,Takuma Sato,Super Aguri Honda,57,+2 laps,0
15,21,Christijan Albers,Spyker Ferrari,57,+2 laps,0
16,18,Vitantonio Liuzzi,STR Ferrari,53,DNF,0
NC,12,Jarno Trulli,Toyota,43,DNF,0
NC,23,Anthony Davidson,Super Aguri Honda,35,DNF,0
NC,19,Scott Speed,STR Ferrari,29,DNF,0
NC,11,Ralf Schumacher,Toyota,22,DNF,0
NC,20,Adrian Sutil,Spyker Ferrari,16,DNF,0
NC,15,Mark Webber,Red Bull Renault,8,DNF,0
